,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.00039527480675285857,9.125676997483307e-05,3.8394028963948975e-05,4.90687845026054e-05,2.0080566014178585e-05,2.9412650150379225e-05,4.4075906024952024e-05,3.10923491075347e-05,5.156094415177028e-05,4.977554853020094e-05,2.5125148202525248e-05,3.0169360199979204e-05,5.750429069498362e-05,7.323783838510384e-05,2.3446748652646145e-05,2.42016337644474e-05,0.00011175844390654119,3.920873864411011e-05,0.00010345352965383434,3.517521828061221e-05,-2.613378099203891e-06,0.00011237303718202785,1.609771703022839e-05,2.751240414044755e-05,2.5367820651448496e-05,4.6596454536266724e-05,-1.452453173726955e-06,3.624952080835342e-05,6.929194104057023e-07,8.072178653302574e-05,4.714748353727584e-05,-3.835013780298928e-06,3.060388680654971e-05,1.0391727276871526e-05,8.103474176775282e-05,2.7720302978280037e-05,1.1661557999448985e-05,3.329016788381411e-05,4.665763977977697e-05,-9.49831525488467e-06,-5.848524555235193e-05,1.684816184678441e-05,-4.426601223479515e-06,5.72013409099657e-05,-1.3787668230978408e-05
ANTM.JK,9.125676997483307e-05,0.0004246906286259728,4.8531892604746024e-05,5.6813799254793784e-05,3.85527527313434e-05,2.6437909384479206e-05,3.654094861422587e-05,4.0129423986291925e-05,7.275680991597338e-05,8.117286432154454e-05,2.5600894947292545e-05,2.7867243871821154e-05,4.12927935829539e-05,6.503573465674258e-05,4.9215222039908136e-05,3.4795950908429236e-05,7.237184598770654e-05,0.00012478726151375207,0.00016713785757701874,2.3450855335241163e-05,-1.1169993014991603e-05,0.00020564067327493964,1.9033397352119472e-05,5.6052181155652915e-05,3.7558787980486486e-05,4.759046320439643e-05,-6.262384222332801e-06,3.33575363549994e-05,2.1497173012566694e-05,7.265729967984379e-05,9.20563362311355e-05,1.0974738732669158e-05,3.00759289461165e-05,7.317131968977774e-05,0.00010152616568645328,1.948470368057172e-05,1.1439506744371428e-05,3.8557877743673124e-05,4.379168007191323e-05,1.2176393239619182e-05,-5.518997109317661e-05,2.5635350219994777e-05,3.71151081476545e-05,9.252219734416356e-05,1.223812061068903e-06
ASII.JK,3.8394028963948975e-05,4.8531892604746024e-05,0.0002356628031144173,0.00010645909659518888,2.605686136116975e-05,5.693603066595961e-05,8.006824556138964e-05,8.703980381416404e-05,8.237296430561267e-05,7.367029904653091e-05,1.4143610355645338e-05,3.4586981031693134e-05,7.297770361833393e-05,0.0001034976110736177,7.841182481392744e-05,-7.936490086841648e-06,3.612717939462376e-05,7.70004695871644e-05,6.438356186166257e-05,2.871891557853549e-05,1.915856359719112e-05,4.231715067166996e-05,4.731357166799022e-05,2.038183195515219e-05,4.64893227576267e-05,3.200447363333964e-05,4.76157053275686e-05,3.92435702372926e-05,1.752508981793238e-05,4.20950598773263e-05,6.34953822360575e-05,2.2272402850702103e-05,2.829296165153667e-05,7.029383204289193e-05,1.675741338566954e-05,2.1493629127059794e-05,-3.4864700099132154e-05,2.1740455402464215e-05,6.961641382389658e-05,3.889867584068577e-06,-1.5057037641287955e-06,2.9640618816113776e-05,6.8368128255285e-05,8.105717502230992e-05,3.393381531686e-05
AUTO.JK,4.90687845026054e-05,5.6813799254793784e-05,0.00010645909659518888,0.0006598657191022006,-4.462047855136724e-06,4.153926709233029e-05,6.210324450304623e-05,8.307005190612503e-05,0.0001354283978838208,0.00012502584071135157,2.269121485408255e-05,4.35580853722316e-05,6.960438230522398e-05,0.00015426118730662086,9.032980766390153e-05,5.261494399335984e-05,9.120321542489738e-05,0.00017915688611657842,6.270950007643008e-05,4.62462221414769e-05,6.380691206501328e-05,1.5925459849210293e-05,3.449056455193203e-05,6.283072930072295e-05,4.018096825957499e-05,7.249887457944186e-05,2.767731712146742e-05,3.622338161682559e-05,5.5492547478865604e-05,4.582464101268066e-05,9.39774790053188e-05,4.080566074538702e-05,6.0153048308075705e-05,7.499361305219251e-05,0.00011289359720136001,3.2480541524500095e-05,0.00015507042270846436,4.2109721646308174e-05,0.00010979709908251283,6.978240672578965e-05,3.678932383500507e-05,3.862397048066729e-05,3.577261297577558e-05,6.18760371796488e-05,4.695694528706705e-05
AVIA.JK,2.0080566014178585e-05,3.85527527313434e-05,2.605686136116975e-05,-4.462047855136724e-06,0.0005037538023374993,3.072419735753362e-05,3.228412883154854e-05,3.621317445440892e-05,6.779283679682243e-05,5.1118221290885085e-05,1.118175059835926e-05,1.1103642381452343e-05,5.25351878160153e-05,3.0045073855697377e-05,5.5942133614359086e-05,-6.410418545476398e-05,3.900053877819916e-05,3.508419361551652e-05,5.044482584377864e-05,9.502717080907989e-06,2.9882806632275757e-05,2.9837101624315634e-05,3.779941956869559e-05,4.457075300248239e-05,1.1495633134182114e-05,2.0383947766916107e-05,1.026762889039593e-05,2.2782443876744906e-05,7.4863114101915975e-06,3.211186535471734e-05,4.2478938230445134e-05,2.140715112936586e-05,1.6944647814925112e-05,7.232643638232967e-05,5.053356081919392e-06,3.392965719226442e-05,5.138425838402764e-06,-8.657505683745092e-06,2.624875251423353e-05,4.167146054114514e-05,-2.2374301697132672e-05,1.6787813294834507e-07,2.6035010193255803e-05,1.6832154647761984e-05,6.107073496083268e-05
BBCA.JK,2.9412650150379225e-05,2.6437909384479206e-05,5.693603066595961e-05,4.153926709233029e-05,3.072419735753362e-05,0.0001622497099465769,8.515941671464074e-05,9.579640159731403e-05,8.874395212767426e-05,3.474846809570234e-05,2.469004396483214e-05,2.6999679223303293e-05,0.00011015192169929684,8.032718943885706e-05,6.752102015535723e-05,2.2545744289202005e-06,3.9382873767656085e-05,6.216329267164269e-05,1.5553733997028564e-05,1.1640531962985245e-05,2.139746009211973e-05,-7.709695610370598e-07,2.9366700220023802e-05,2.5768109715232343e-05,1.1579040860641067e-05,1.9257503813688396e-05,2.2836657071863238e-05,2.7349848862361938e-05,1.127391646006459e-05,2.276742419313796e-05,2.5896436363697533e-05,1.8128873738135787e-05,2.7701744286269194e-05,4.443681361289905e-05,3.780462920405486e-05,1.2602165727972616e-05,-1.9739751846241327e-05,1.7713684598586677e-05,3.475207862041164e-05,5.171429002931759e-05,-3.197078549912694e-05,1.0449101192368518e-05,4.4916167922200736e-05,1.4550578202554752e-05,1.635858541576463e-05
BBNI.JK,4.4075906024952024e-05,3.654094861422587e-05,8.006824556138964e-05,6.210324450304623e-05,3.228412883154854e-05,8.515941671464074e-05,0.0002802051720368355,0.00016426277768222036,0.00015495791546607307,5.677156399323664e-05,4.2081589163135995e-05,7.404100245782723e-05,0.0001803221528727229,0.00010423225461623921,0.00011008274953990767,5.346976413360359e-06,3.804987827735192e-05,8.29610612155992e-05,1.931769743120282e-05,-1.0556337833920746e-05,7.20244415480753e-05,1.0886089458719585e-05,4.945292276521392e-05,4.298315687871606e-05,3.01929634777197e-05,4.513923966167724e-05,4.2555935455709586e-05,3.516527522107297e-05,1.9995721108973496e-05,4.272719462812166e-05,4.6329500681439576e-05,1.7964109314570236e-05,5.088338668186528e-05,8.100373008101762e-05,7.384231349417295e-05,3.1075670656783766e-05,3.0482713159231834e-05,1.8558627218111763e-05,7.788111252024923e-05,3.930606325264864e-05,1.8204445162105502e-06,2.5591072249682517e-05,6.341815133346478e-05,6.181894508179973e-06,2.2652297199306834e-05
BBRI.JK,3.10923491075347e-05,4.0129423986291925e-05,8.703980381416404e-05,8.307005190612503e-05,3.621317445440892e-05,9.579640159731403e-05,0.00016426277768222036,0.0002769078098599,0.00016297935861635485,8.921611493927361e-05,5.3054851804180234e-05,7.036412673242115e-05,0.00015898476786083818,0.00013421410036381599,0.00010901187345906668,-2.0616420099500438e-05,5.451287650576615e-05,0.00011841997793360812,2.4237273237712602e-05,-1.1750452394242358e-05,4.457445126810342e-05,9.26470701680827e-06,3.482528924712828e-05,2.8106988992712376e-05,4.200396357792277e-05,6.330852929228067e-05,4.5345431044140696e-05,4.9585911449857497e-05,3.41578399141216e-05,4.506437432190617e-05,4.1499018288495484e-05,1.9013865473431155e-05,4.0556757541814315e-05,8.908595180014654e-05,4.593077887995065e-05,3.125799422334808e-05,3.329209977028022e-06,2.002711460099287e-05,7.319787973121608e-05,5.698103233069369e-05,-3.402248986434088e-05,2.5099974393430015e-05,6.221437578371508e-05,2.407381680786506e-05,3.634639696755304e-05
BBTN.JK,5.156094415177028e-05,7.275680991597338e-05,8.237296430561267e-05,0.0001354283978838208,6.779283679682243e-05,8.874395212767426e-05,0.00015495791546607307,0.00016297935861635485,0.00035563651077016075,0.00010435507157182425,5.911819493101954e-05,7.26139853604585e-05,0.0001330036656090726,0.0001374103590316103,0.0001489885574382096,-5.617281849887894e-06,5.433371625754613e-05,0.00013527292096482364,5.80781655179105e-05,2.5874350950886065e-05,7.66934029908778e-05,3.4682010684301775e-05,4.395553167562502e-05,5.7807409390304816e-05,5.092481426919609e-05,6.297821037183507e-05,4.188006129358041e-05,6.468587286936368e-05,5.4353770256286257e-05,7.825922787902871e-05,6.010341687069624e-05,1.8624348257193713e-05,6.466946714656767e-05,0.00012565260175397875,7.987814924537506e-05,5.102936665913733e-05,2.6030629723606468e-05,3.5158034067127054e-05,0.00012401294748691697,6.278273828919048e-05,-2.5389274344618844e-05,9.141827045878496e-06,5.661837161391877e-05,4.292506022135225e-05,1.3733111424570822e-05
BIRD.JK,4.977554853020094e-05,8.117286432154454e-05,7.367029904653091e-05,0.00012502584071135157,5.1118221290885085e-05,3.474846809570234e-05,5.677156399323664e-05,8.921611493927361e-05,0.00010435507157182425,0.0004489786980165053,2.5638007004350558e-05,2.6157935976711176e-05,8.390229778068704e-05,8.473369726991608e-05,0.00011302442240654764,7.462845068641698e-05,6.057918745649269e-05,0.00010550879860164096,8.531445599040104e-05,-9.236236916241377e-06,1.4194913723207822e-05,4.554912140334712e-05,3.667674179091767e-05,3.124114199828715e-05,4.07161211932575e-05,5.741535089176241e-05,4.17237800175351e-05,3.317778144507889e-05,4.241388209218592e-05,4.6790417126651576e-05,8.086921389381606e-05,1.22584056451562e-05,6.230338781601497e-05,0.00010992329957402265,7.562461953585067e-05,2.8974222860649078e-05,3.814626894487939e-05,4.5972280282826e-05,6.239788794567035e-05,3.779118009100959e-05,-5.627476946004568e-05,3.3010998700351677e-05,3.4973068262047353e-05,5.366839034648812e-05,6.368478850933009e-05
