,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.00,93767.62,1678147.07,292388.92,400089.22,3502111.74,1400469.58,1441544.01,30846.53,113963.71,117906.69,369954.52,1838420.16,127992.95,60845.03,259011.90,454990.52,387188.10,303604.38,31926.72,4328947.20,1563260.31,2336773.34,3287177.65,54725.40,1412228.87,118751.76,197563.54,337520.90,70905.95,66431.40,347661.45,1331645.89,437004.64,569733.77,351157.33,362514.24,462770.79,1733586.45,105968.59,51986.06,386115.41,880455.26,9895052.99,701492.34
ANTM.JK,93767.62,0.00,1597881.07,275636.44,480355.22,3421845.74,1320203.58,1361278.01,154671.11,58233.15,238392.44,450220.52,1758154.16,77020.75,192317.07,391455.78,535256.52,467454.10,383870.38,62525.26,4248681.20,1482994.31,2256507.34,3206911.65,138548.54,1331962.87,35715.31,280895.90,417786.90,190465.68,94403.91,427927.45,1251379.89,517270.64,649999.77,431423.33,365096.00,543036.79,1653320.45,86593.32,74071.93,466381.41,800189.26,9814786.99,560095.14
ASII.JK,1678147.07,1597881.07,0.00,1314574.59,2078236.29,1823964.67,187891.86,131592.22,1767260.11,1512266.77,1836273.51,2048101.59,142238.82,1637688.36,1798284.61,2001161.85,2133137.59,2065335.17,1981751.45,1681099.40,2650800.13,279570.17,564078.23,1519070.04,1711030.13,232370.89,1552607.64,1878776.97,2015667.97,1824485.64,1709591.13,2025808.52,377395.77,2115151.71,2247880.84,2029304.40,1240619.83,2140917.86,260562.77,1493462.31,1773428.70,2064262.48,797691.81,8216905.92,961404.11
AUTO.JK,292388.92,275636.44,1314574.59,0.00,763661.70,3138539.26,1036897.10,1077971.53,419455.78,112604.24,521698.92,733527.00,1474847.68,300839.53,466888.29,681755.79,818563.00,750760.58,667176.86,262842.88,3965374.72,1169061.67,1973200.86,2923605.17,186956.46,1035666.96,220563.92,564202.38,701093.38,491811.95,182887.96,711233.93,813991.65,800577.12,933306.25,714729.81,108283.69,826343.27,1256890.40,90837.88,332903.08,749687.89,378587.33,9531480.51,281852.48
AVIA.JK,400089.22,480355.22,2078236.29,763661.70,0.00,3902200.96,1800558.80,1841633.23,310976.18,565969.52,241962.78,19817.15,2238509.38,440547.93,279951.68,79618.63,47722.73,24094.01,89173.57,397136.89,4729036.42,1963349.53,2736862.56,3687266.87,367206.16,1812318.09,525628.65,199459.32,40123.28,251658.45,368645.16,47987.23,1731735.11,21771.06,169644.55,39667.18,837616.46,46694.47,2133675.67,584773.98,304807.59,55808.61,1280544.48,10295142.21,1116832.18
BBCA.JK,3502111.74,3421845.74,1823964.67,3138539.26,3902200.96,0.00,2101642.16,2060567.73,3591224.78,3336231.44,3660238.18,3872066.26,1663691.58,3461653.03,3622249.28,3825126.52,3957102.26,3889299.84,3805716.12,3505064.07,446194.02,1938851.43,943602.51,642855.93,3534994.80,2089882.87,3376572.31,3702741.64,3839632.64,3648450.31,3533555.80,3849773.19,2170465.85,3939116.38,4071845.51,3853269.07,3064584.50,3964882.53,1768525.29,3317426.98,3597393.37,3888227.15,2621656.48,6392941.25,2785368.78
BBNI.JK,1400469.58,1320203.58,187891.86,1036897.10,1800558.80,2101642.16,0.00,47941.41,1489582.62,1234589.28,1558596.02,1770424.10,236153.30,1360010.87,1520607.12,1723484.36,1855460.10,1787657.68,1704073.96,1403421.91,2928477.62,420983.13,936303.76,1886708.07,1433352.64,82048.05,1274930.15,1601099.48,1737990.48,1546808.15,1431913.64,1748131.03,405228.89,1837474.22,1970203.35,1751626.91,933444.69,1863240.37,551238.11,1215784.82,1495751.21,1786584.99,435906.95,8494583.41,562636.24
BBRI.JK,1441544.01,1361278.01,131592.22,1077971.53,1841633.23,2060567.73,47941.41,0.00,1530657.05,1275663.71,1599670.45,1811498.53,235340.69,1401085.30,1561681.55,1764558.79,1896534.53,1828732.11,1745148.39,1444496.34,2887403.19,311750.51,860131.55,1845633.64,1474427.07,109309.44,1316004.58,1642173.91,1779064.91,1587882.58,1472988.07,1789205.46,247544.23,1878548.65,2011277.78,1792701.34,996819.49,1904314.80,362380.74,1256859.25,1536825.64,1827659.42,436978.61,8453508.98,523937.05
BBTN.JK,30846.53,154671.11,1767260.11,419455.78,310976.18,3591224.78,1489582.62,1530657.05,0.00,241288.13,28290.85,280841.48,1927533.20,153535.47,18534.83,178025.97,365877.48,294365.88,191049.38,64789.53,4418060.24,1652373.35,2425886.38,3376290.69,60830.73,1501341.91,184450.99,85428.22,248407.86,45952.06,71227.91,258548.41,1420758.93,347891.60,480620.73,262044.29,472832.86,373657.75,1822699.49,216003.48,54651.48,297002.37,969568.30,9984166.03,805856.00
BIRD.JK,113963.71,58233.15,1512266.77,112604.24,565969.52,3336231.44,1234589.28,1275663.71,241288.13,0.00,324006.74,535834.82,1672539.86,135847.18,286017.84,488895.08,620870.82,553068.40,469484.68,119255.67,4163066.90,1397380.01,2170893.04,3121297.35,146863.76,1246348.57,59468.58,366510.20,503401.20,288394.77,143367.88,513541.75,1165765.59,602884.94,735614.07,517037.63,223657.77,628651.09,1567706.15,28791.19,181742.57,551995.71,714574.96,9729172.69,428941.12
BJBR.JK,117906.69,238392.44,1836273.51,521698.92,241962.78,3660238.18,1558596.02,1599670.45,28290.85,324006.74,0.00,211828.08,1996546.60,161743.22,32023.34,176425.07,296864.08,203109.78,108764.33,135734.22,4487073.64,1721386.75,2494899.78,3445304.09,120681.59,1570355.31,283665.87,23875.31,179394.46,57570.54,117035.00,189535.01,1489772.33,278878.20,411607.33,193030.89,595653.68,304644.35,1891712.89,342811.20,49506.59,227163.97,1038581.70,10053179.43,874869.40
