,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.000395,0.000091,0.000038,0.000049,0.000020,0.000029,0.000044,0.000031,0.000052,0.000050,0.000025,0.000030,0.000058,0.000073,0.000023,0.000024,0.000112,0.000039,0.000103,0.000035,-0.000003,0.000112,0.000016,0.000028,0.000025,0.000047,-0.000001,0.000036,0.000001,0.000081,0.000047,-0.000004,0.000031,0.000010,0.000081,0.000028,0.000012,0.000033,0.000047,-0.000009,-0.000058,0.000017,-0.000004,0.000057,-0.000014
ANTM.JK,0.000091,0.000425,0.000049,0.000057,0.000039,0.000026,0.000037,0.000040,0.000073,0.000081,0.000026,0.000028,0.000041,0.000065,0.000049,0.000035,0.000072,0.000125,0.000167,0.000023,-0.000011,0.000206,0.000019,0.000056,0.000038,0.000048,-0.000006,0.000033,0.000021,0.000073,0.000092,0.000011,0.000030,0.000073,0.000102,0.000019,0.000011,0.000039,0.000044,0.000012,-0.000055,0.000026,0.000037,0.000093,0.000001
ASII.JK,0.000038,0.000049,0.000236,0.000106,0.000026,0.000057,0.000080,0.000087,0.000082,0.000074,0.000014,0.000035,0.000073,0.000103,0.000078,-0.000008,0.000036,0.000077,0.000064,0.000029,0.000019,0.000042,0.000047,0.000020,0.000046,0.000032,0.000048,0.000039,0.000018,0.000042,0.000063,0.000022,0.000028,0.000070,0.000017,0.000021,-0.000035,0.000022,0.000070,0.000004,-0.000002,0.000030,0.000068,0.000081,0.000034
AUTO.JK,0.000049,0.000057,0.000106,0.000660,-0.000004,0.000042,0.000062,0.000083,0.000135,0.000125,0.000023,0.000044,0.000070,0.000154,0.000090,0.000053,0.000091,0.000179,0.000063,0.000046,0.000064,0.000016,0.000034,0.000063,0.000040,0.000072,0.000028,0.000036,0.000055,0.000046,0.000094,0.000041,0.000060,0.000075,0.000113,0.000032,0.000155,0.000042,0.000110,0.000070,0.000037,0.000039,0.000036,0.000062,0.000047
AVIA.JK,0.000020,0.000039,0.000026,-0.000004,0.000504,0.000031,0.000032,0.000036,0.000068,0.000051,0.000011,0.000011,0.000053,0.000030,0.000056,-0.000064,0.000039,0.000035,0.000050,0.000010,0.000030,0.000030,0.000038,0.000045,0.000011,0.000020,0.000010,0.000023,0.000007,0.000032,0.000042,0.000021,0.000017,0.000072,0.000005,0.000034,0.000005,-0.000009,0.000026,0.000042,-0.000022,0.000000,0.000026,0.000017,0.000061
BBCA.JK,0.000029,0.000026,0.000057,0.000042,0.000031,0.000162,0.000085,0.000096,0.000089,0.000035,0.000025,0.000027,0.000110,0.000080,0.000068,0.000002,0.000039,0.000062,0.000016,0.000012,0.000021,-0.000001,0.000029,0.000026,0.000012,0.000019,0.000023,0.000027,0.000011,0.000023,0.000026,0.000018,0.000028,0.000044,0.000038,0.000013,-0.000020,0.000018,0.000035,0.000052,-0.000032,0.000010,0.000045,0.000015,0.000016
BBNI.JK,0.000044,0.000037,0.000080,0.000062,0.000032,0.000085,0.000280,0.000164,0.000155,0.000057,0.000042,0.000074,0.000180,0.000104,0.000110,0.000005,0.000038,0.000083,0.000019,-0.000011,0.000072,0.000011,0.000049,0.000043,0.000030,0.000045,0.000043,0.000035,0.000020,0.000043,0.000046,0.000018,0.000051,0.000081,0.000074,0.000031,0.000030,0.000019,0.000078,0.000039,0.000002,0.000026,0.000063,0.000006,0.000023
BBRI.JK,0.000031,0.000040,0.000087,0.000083,0.000036,0.000096,0.000164,0.000277,0.000163,0.000089,0.000053,0.000070,0.000159,0.000134,0.000109,-0.000021,0.000055,0.000118,0.000024,-0.000012,0.000045,0.000009,0.000035,0.000028,0.000042,0.000063,0.000045,0.000050,0.000034,0.000045,0.000041,0.000019,0.000041,0.000089,0.000046,0.000031,0.000003,0.000020,0.000073,0.000057,-0.000034,0.000025,0.000062,0.000024,0.000036
BBTN.JK,0.000052,0.000073,0.000082,0.000135,0.000068,0.000089,0.000155,0.000163,0.000356,0.000104,0.000059,0.000073,0.000133,0.000137,0.000149,-0.000006,0.000054,0.000135,0.000058,0.000026,0.000077,0.000035,0.000044,0.000058,0.000051,0.000063,0.000042,0.000065,0.000054,0.000078,0.000060,0.000019,0.000065,0.000126,0.000080,0.000051,0.000026,0.000035,0.000124,0.000063,-0.000025,0.000009,0.000057,0.000043,0.000014
BIRD.JK,0.000050,0.000081,0.000074,0.000125,0.000051,0.000035,0.000057,0.000089,0.000104,0.000449,0.000026,0.000026,0.000084,0.000085,0.000113,0.000075,0.000061,0.000106,0.000085,-0.000009,0.000014,0.000046,0.000037,0.000031,0.000041,0.000057,0.000042,0.000033,0.000042,0.000047,0.000081,0.000012,0.000062,0.000110,0.000076,0.000029,0.000038,0.000046,0.000062,0.000038,-0.000056,0.000033,0.000035,0.000054,0.000064
