,UNTR.JK,AVIA.JK,BJTM.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,MPMX.JK,MTEL.JK,PGEO.JK,POWR.JK,PWON.JK,SCMA.JK,SIDO.JK,SIMP.JK,TAPG.JK,ASII.JK,BBNI.JK,BBRI.JK,BMRI.JK,INCO.JK,INDF.JK,JSMR.JK,PRDA.JK,SMGR.JK,TLKM.JK,UNVR.JK,BBCA.JK,ICBP.JK,INTP.JK,AKRA.JK,ANTM.JK,AUTO.JK,BBTN.JK,BIRD.JK,BJBR.JK,BTPS.JK,CTRA.JK,HEAL.JK,JPFA.JK,KLBF.JK,PNBN.JK,SILO.JK,SMSM.JK,SSMS.JK
UNTR.JK,0.000387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVIA.JK,0.000000,0.000504,0.000011,-0.000064,0.000039,0.000035,0.000050,0.000023,0.000007,0.000032,0.000021,0.000072,0.000005,0.000034,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BJTM.JK,0.000000,0.000011,0.000103,-0.000000,0.000040,0.000048,0.000063,0.000022,0.000016,0.000040,0.000014,0.000036,0.000027,0.000022,0.000017,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DSNG.JK,0.000000,-0.000064,-0.000000,0.000771,0.000039,0.000013,0.000093,0.000023,0.000028,-0.000063,-0.000011,0.000042,0.000012,0.000049,0.000083,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ELSA.JK,0.000000,0.000039,0.000040,0.000039,0.000355,0.000051,0.000092,0.000044,0.000008,0.000062,0.000026,0.000022,0.000062,0.000048,0.000044,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
EMTK.JK,0.000000,0.000035,0.000048,0.000013,0.000051,0.000965,0.000149,0.000049,0.000056,-0.000009,0.000032,0.000105,0.000434,0.000036,0.000055,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ESSA.JK,0.000000,0.000050,0.000063,0.000093,0.000092,0.000149,0.001080,0.000049,0.000031,0.000049,0.000003,0.000041,0.000119,0.000059,0.000052,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MPMX.JK,0.000000,0.000023,0.000022,0.000023,0.000044,0.000049,0.000049,0.000141,0.000018,0.000018,0.000018,0.000034,0.000044,0.000025,0.000025,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MTEL.JK,0.000000,0.000007,0.000016,0.000028,0.000008,0.000056,0.000031,0.000018,0.000286,0.000009,0.000017,0.000052,0.000024,0.000031,0.000012,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PGEO.JK,0.000000,0.000032,0.000040,-0.000063,0.000062,-0.000009,0.000049,0.000018,0.000009,0.000913,-0.000008,0.000006,-0.000043,0.000004,0.000018,-0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
POWR.JK,0.000000,0.000021,0.000014,-0.000011,0.000026,0.000032,0.000003,0.000018,0.000017,-0.000008,0.000091,0.000025,0.000015,0.000010,0.000010,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PWON.JK,0.000000,0.000072,0.000036,0.000042,0.000022,0.000105,0.000041,0.000034,0.000052,0.000006,0.000025,0.000283,0.000045,0.000056,0.000040,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SCMA.JK,0.000000,0.000005,0.000027,0.000012,0.000062,0.000434,0.000119,0.000044,0.000024,-0.000043,0.000015,0.000045,0.000812,0.000039,0.000056,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SIDO.JK,0.000000,0.000034,0.000022,0.000049,0.000048,0.000036,0.000059,0.000025,0.000031,0.000004,0.000010,0.000056,0.000039,0.000343,0.000025,0.000041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SIMP.JK,0.000000,-0.000009,0.000017,0.000083,0.000044,0.000055,0.000052,0.000025,0.000012,0.000018,0.000010,0.000040,0.000056,0.000025,0.000156,0.000078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TAPG.JK,0.000000,0.000000,0.000008,0.000237,0.000044,0.000076,0.000063,0.000036,0.000029,-0.000028,0.000015,0.000052,0.000065,0.000041,0.000078,0.000361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ASII.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000236,0.000080,0.000087,0.000073,0.000042,0.000047,0.000032,0.000028,0.000070,0.000068,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BBNI.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000080,0.000280,0.000164,0.000180,0.000011,0.000049,0.000045,0.000051,0.000078,0.000063,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BBRI.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000087,0.000164,0.000277,0.000159,0.000009,0.000035,0.000063,0.000041,0.000073,0.000062,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
