,UNTR.JK,AVIA.JK,BJTM.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,MPMX.JK,MTEL.JK,PGEO.JK,POWR.JK,PWON.JK,SCMA.JK,SIDO.JK,SIMP.JK,TAPG.JK,ASII.JK,BBNI.JK,BBRI.JK,BMRI.JK,INCO.JK,INDF.JK,JSMR.JK,PRDA.JK,SMGR.JK,TLKM.JK,UNVR.JK,BBCA.JK,ICBP.JK,INTP.JK,AKRA.JK,ANTM.JK,AUTO.JK,BBTN.JK,BIRD.JK,BJBR.JK,BTPS.JK,CTRA.JK,HEAL.JK,JPFA.JK,KLBF.JK,PNBN.JK,SILO.JK,SMSM.JK,SSMS.JK
UNTR.JK,0.00038734693693506474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVIA.JK,0.0,0.0005037538023374993,1.1103642381452343e-05,-6.410418545476398e-05,3.900053877819916e-05,3.508419361551652e-05,5.044482584377864e-05,2.2782443876744906e-05,7.4863114101915975e-06,3.211186535471734e-05,2.140715112936586e-05,7.232643638232967e-05,5.053356081919392e-06,3.392965719226442e-05,-8.657505683745092e-06,1.6787813294834507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJTM.JK,0.0,1.1103642381452343e-05,0.00010291547519820655,-1.6883660399922008e-07,4.012065983779261e-05,4.8460536446308104e-05,6.313597201973235e-05,2.2410566097958333e-05,1.6135062905083066e-05,4.012458295793147e-05,1.3718731835137645e-05,3.616248262776077e-05,2.7122349570512943e-05,2.174506422163889e-05,1.6850149749711258e-05,8.030376919955518e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSNG.JK,0.0,-6.410418545476398e-05,-1.6883660399922008e-07,0.0007711778490557507,3.934035899439217e-05,1.266785681013973e-05,9.335050071093473e-05,2.292614887488683e-05,2.7800864125243716e-05,-6.300976221839758e-05,-1.1449271274969905e-05,4.170457393384277e-05,1.1595785228600863e-05,4.855627395489832e-05,8.345373329310525e-05,0.0002374623285551386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELSA.JK,0.0,3.900053877819916e-05,4.012065983779261e-05,3.934035899439217e-05,0.00035458934496113777,5.108977723473773e-05,9.212763742375583e-05,4.3782936020877684e-05,8.373485677143648e-06,6.236459118365989e-05,2.6267352493175942e-05,2.1965017581548702e-05,6.218411290363703e-05,4.849729175925144e-05,4.447411807263871e-05,4.3897892199543774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMTK.JK,0.0,3.508419361551652e-05,4.8460536446308104e-05,1.266785681013973e-05,5.108977723473773e-05,0.0009648223554598701,0.0001490706378121206,4.934168458251727e-05,5.621138000797221e-05,-9.002170330877047e-06,3.1812615551618256e-05,0.00010489818463573447,0.0004340453383666101,3.634081851137436e-05,5.494654180646105e-05,7.588856431296596e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESSA.JK,0.0,5.044482584377864e-05,6.313597201973235e-05,9.335050071093473e-05,9.212763742375583e-05,0.0001490706378121206,0.0010801780909379785,4.928237688714928e-05,3.113818719432413e-05,4.9432371137531275e-05,2.730755992444262e-06,4.100956350898575e-05,0.00011903611968410657,5.902053774068234e-05,5.171601859404566e-05,6.312514722347885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPMX.JK,0.0,2.2782443876744906e-05,2.2410566097958333e-05,2.292614887488683e-05,4.3782936020877684e-05,4.934168458251727e-05,4.928237688714928e-05,0.0001412660277560475,1.8227221980177516e-05,1.7621920948215156e-05,1.8120215696134462e-05,3.3523012937355455e-05,4.350420107324307e-05,2.4988538008563547e-05,2.4742152402860617e-05,3.639271097071996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTEL.JK,0.0,7.4863114101915975e-06,1.6135062905083066e-05,2.7800864125243716e-05,8.373485677143648e-06,5.621138000797221e-05,3.113818719432413e-05,1.8227221980177516e-05,0.0002860291833879003,9.116745991961792e-06,1.651156174565878e-05,5.1735099013255845e-05,2.3546932542557868e-05,3.08174271155263e-05,1.1977219213101267e-05,2.856737986915193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGEO.JK,0.0,3.211186535471734e-05,4.012458295793147e-05,-6.300976221839758e-05,6.236459118365989e-05,-9.002170330877047e-06,4.9432371137531275e-05,1.7621920948215156e-05,9.116745991961792e-06,0.0009129720231795628,-7.5579163010779455e-06,6.101282954703913e-06,-4.3295474125025574e-05,4.366680591785757e-06,1.799084483580658e-05,-2.7631564030605353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
