Date,ANTM.JK,ASII.JK,AUTO.JK,BBCA.JK,BBNI.JK,BBRI.JK,BJBR.JK,BJTM.JK,BMRI.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,ICBP.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,POWR.JK,PRDA.JK,PWON.JK,SILO.JK,SMSM.JK,TLKM.JK,UNTR.JK
2023-02-24,1772.25,4661.92,1486.08,7987.13,3736.73,3937.89,1182.51,634.46,4163.44,914.22,612.82,268.37,968.12,993.62,9814.76,6074.8,10782.84,1195.66,3349.83,2184.91,542.82,5609.53,435.44,1285.4,1349.36,3653.61,17739.73
2023-02-27,1781.11,4702.46,1464.61,8079.2,3757.72,3979.25,1174.0,638.72,4173.72,957.76,608.24,268.37,953.38,1003.08,9694.18,6097.9,10709.98,1195.66,3213.89,2088.66,542.82,5495.52,445.07,1305.03,1336.17,3581.26,17899.71
2023-02-28,1763.39,4945.69,1486.08,8056.18,3684.25,3863.43,1122.96,630.2,4112.04,957.76,608.24,266.63,933.72,1012.55,9766.53,5982.41,10807.13,1227.6,3155.63,2030.91,550.93,5335.9,445.07,1285.4,1362.54,3508.91,19837.21
2023-03-01,1772.25,4986.23,1447.43,7918.08,3757.72,3904.8,1148.48,630.2,4153.16,948.08,608.24,268.37,938.64,1003.08,9549.49,5797.63,10952.84,1209.35,3155.63,2030.91,542.82,5290.29,447.0,1305.03,1353.75,3554.13,19606.13
2023-03-02,1781.11,4986.23,1554.8,7941.1,3726.23,3954.43,1152.73,634.46,4204.56,952.92,608.24,287.41,933.72,979.43,9501.26,5774.53,10807.13,1177.4,3155.63,2021.28,542.82,5358.7,445.07,1319.75,1358.15,3508.91,20139.39
2023-03-03,1767.82,4905.15,1533.33,7802.99,3673.75,3937.89,1156.99,634.46,4132.6,928.73,631.11,287.41,933.72,974.7,9380.69,5797.63,11098.56,1168.28,3243.02,1982.78,542.82,5381.5,437.37,1280.5,1375.73,3527.0,19997.19
2023-03-06,1736.8,4925.42,1567.69,7733.94,3694.74,3962.71,1152.73,630.2,4163.44,919.06,617.39,292.6,909.15,913.19,9404.8,5774.53,10977.13,1140.89,3194.47,2030.91,542.82,5176.28,437.37,1280.5,1393.31,3508.91,19659.46
2023-03-07,1719.08,4824.08,1584.87,7756.95,3736.73,4004.07,1148.48,630.2,4184.0,919.06,626.54,287.41,850.18,941.57,9621.84,5774.53,10928.56,1145.46,3145.92,2002.03,546.87,5039.46,441.22,1290.31,1384.52,3508.91,19072.88
2023-03-08,1670.34,4803.81,1529.03,7895.06,3726.23,4004.07,1139.97,630.2,4225.12,928.73,617.39,283.95,830.52,960.5,9453.03,5682.14,11147.13,1113.51,3175.05,2021.28,542.82,5153.47,439.29,1295.22,1371.33,3563.17,18770.7
2023-03-09,1661.48,4884.89,1529.03,7895.06,3841.69,3979.25,1148.48,630.2,4297.08,938.41,621.96,290.87,855.09,946.31,9453.03,5682.14,11147.13,1113.51,3155.63,2002.03,542.82,5267.49,433.51,1285.4,1397.7,3590.3,19215.08
2023-03-10,1665.91,4844.35,1503.26,7779.97,3789.21,3987.53,1139.97,630.2,4266.24,923.9,617.39,280.49,855.09,927.38,9404.8,5659.04,11147.13,1122.64,3184.76,1982.78,538.77,5267.49,429.66,1285.4,1397.7,3626.48,19072.88
2023-03-13,1639.33,4803.81,1486.08,7872.04,3778.72,3995.8,1144.23,621.69,4255.96,914.22,603.67,283.95,860.01,917.92,9308.34,5659.04,10709.98,1081.57,3126.5,2030.91,542.82,5107.87,427.73,1275.59,1388.91,3680.74,19961.64
2023-03-14,1608.31,4682.19,1434.54,7664.88,3684.25,3896.52,1131.46,617.43,4081.2,909.38,585.38,270.1,805.95,889.53,9308.34,5705.23,10685.7,1081.57,3077.96,2011.66,538.77,5039.46,421.95,1280.5,1393.31,3635.52,19268.4
